,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
946,Burkholderia cepacia complex,3,0.0526963,2021,Pediatric
947,Capnocytophaga sputigena,3,0.0526963,2021,Pediatric
948,Candida,3,0.0526963,2021,Pediatric
949,Chryseobacterium indologenes,3,0.0526963,2021,Pediatric
950,Clostridium perfringens,3,0.0526963,2021,Pediatric
951,Corynebacterium amycolatum,3,0.0526963,2021,Pediatric
952,Coliform bacteria,3,0.0526963,2021,Pediatric
953,Eikenella corrodens,3,0.0526963,2021,Pediatric
954,Enterobacter hormaechei,3,0.0526963,2021,Pediatric
955,Escherichia,3,0.0526963,2021,Pediatric
956,Finegoldia magna,3,0.0526963,2021,Pediatric
957,Fusobacterium nucleatum ss nucleatum,3,0.0526963,2021,Pediatric
958,Gemella morbillorum,3,0.0526963,2021,Pediatric
959,Lactobacillus rhamnosus,3,0.0526963,2021,Pediatric
960,Leclercia adecarboxylata,3,0.0526963,2021,Pediatric
961,Neisseria mucosa,3,0.0526963,2021,Pediatric
962,Prevotella bivia,3,0.0526963,2021,Pediatric
963,Peptostreptococcus,3,0.0526963,2021,Pediatric
964,Proteus vulgaris,3,0.0526963,2021,Pediatric
965,Staphylococcus hominis hominis,3,0.0526963,2021,Pediatric
966,Staphylococcus pettenkoferi,3,0.0526963,2021,Pediatric
967,Staphylococcus pseudintermedius,3,0.0526963,2021,Pediatric
968,"Beta-hemolytic Streptococcus, group A",3,0.0526963,2021,Pediatric
969,Abiotrophia,2,<0.1,2021,Pediatric
970,Anaerobic Gram-negative bacillus,2,<0.1,2021,Pediatric
971,Aspergillus versicolor,2,<0.1,2021,Pediatric
972,Bacteroides,2,<0.1,2021,Pediatric
973,Candida duobushaemulonii,2,<0.1,2021,Pediatric
974,Candida kefyr,2,<0.1,2021,Pediatric
975,Candida metapsilosis,2,<0.1,2021,Pediatric
976,Candida rugosa,2,<0.1,2021,Pediatric
977,Chryseomonas luteola,2,<0.1,2021,Pediatric
978,Clostridium ramosum,2,<0.1,2021,Pediatric
979,Clostridium septicum,2,<0.1,2021,Pediatric
980,"Staphylococcus, coagulase positive",2,<0.1,2021,Pediatric
981,Cronobacter sakazakii,2,<0.1,2021,Pediatric
982,Eggerthella,2,<0.1,2021,Pediatric
983,Elizabethkingia meningoseptica,2,<0.1,2021,Pediatric
984,Enterococcus raffinosus,2,<0.1,2021,Pediatric
985,Flavonifractor plautii,2,<0.1,2021,Pediatric
986,Fusobacterium,2,<0.1,2021,Pediatric
987,Streptococcus pyogenes,2,<0.1,2021,Pediatric
988,Geotrichum,2,<0.1,2021,Pediatric
989,Hafnia alvei,2,<0.1,2021,Pediatric
990,Kluyvera cryocrescens,2,<0.1,2021,Pediatric
991,Leuconostoc lactis,2,<0.1,2021,Pediatric
992,Malassezia pachydermatis,2,<0.1,2021,Pediatric
993,Micrococcus,2,<0.1,2021,Pediatric
994,Moraxella catarrhalis,2,<0.1,2021,Pediatric
995,"Mycobacterium, avium-intracellulare group",2,<0.1,2021,Pediatric
996,Mycobacterium,2,<0.1,2021,Pediatric
997,Neisseria sicca,2,<0.1,2021,Pediatric
998,Pantoea,2,<0.1,2021,Pediatric
999,Pseudomonas fluorescens,2,<0.1,2021,Pediatric
1000,Prevotella melaninogenica,2,<0.1,2021,Pediatric
1001,Prevotella oris,2,<0.1,2021,Pediatric
1002,Rhizobium radiobacter,2,<0.1,2021,Pediatric
1003,Rothia dentocariosa,2,<0.1,2021,Pediatric
1004,Sphingomonas paucimobilis,2,<0.1,2021,Pediatric
1005,Staphylococcus capitis ss capitis,2,<0.1,2021,Pediatric
1006,Staphylococcus saprophyticus,2,<0.1,2021,Pediatric
1007,Staphylococcus simulans,2,<0.1,2021,Pediatric
1008,Streptococcus dysgalactiae,2,<0.1,2021,Pediatric
1009,Streptococcus parasanguinis,2,<0.1,2021,Pediatric
1010,Trichosporon,2,<0.1,2021,Pediatric
1011,Veillonella parvula,2,<0.1,2021,Pediatric
1012,Veillonella,2,<0.1,2021,Pediatric
1013,Weissella confusa,2,<0.1,2021,Pediatric
1014,Achromobacter denitrificans,1,<0.1,2021,Pediatric
1015,Achromobacter,1,<0.1,2021,Pediatric
1016,Achromobacter xylosoxidans xylosoxidans,1,<0.1,2021,Pediatric
1017,Acinetobacter calcoaceticus,1,<0.1,2021,Pediatric
1018,Acinetobacter pittii,1,<0.1,2021,Pediatric
1019,Acinetobacter ursingii,1,<0.1,2021,Pediatric
1020,Acinetobacter johnsonii,1,<0.1,2021,Pediatric
1021,Acinetobacter lwoffi,1,<0.1,2021,Pediatric
1022,Actinomyces neuii,1,<0.1,2021,Pediatric
1023,Aeromonas,1,<0.1,2021,Pediatric
1024,Agrobacterium,1,<0.1,2021,Pediatric
1025,Aeromonas hydrophila,1,<0.1,2021,Pediatric
1026,Alloiococcus otitis,1,<0.1,2021,Pediatric
1027,Anaerobic Gram-positive bacillus,1,<0.1,2021,Pediatric
1028,Anaerococcus prevotii,1,<0.1,2021,Pediatric
1029,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,1,<0.1,2021,Pediatric
1030,Aspergillus,1,<0.1,2021,Pediatric
1031,Parabacteroides distasonis,1,<0.1,2021,Pediatric
1032,Bacillus subtilis group,1,<0.1,2021,Pediatric
1033,Bacteroides uniformis,1,<0.1,2021,Pediatric
1034,Bacteroides vulgatus,1,<0.1,2021,Pediatric
1035,Burkholderia gladioli,1,<0.1,2021,Pediatric
1036,Burkholderia,1,<0.1,2021,Pediatric
1037,Candida lipolytica,1,<0.1,2021,Pediatric
1038,Candida norvegensis,1,<0.1,2021,Pediatric
1039,Candida utilis,1,<0.1,2021,Pediatric
1040,Clostridioides difficile,1,<0.1,2021,Pediatric
1041,Chryseobacterium,1,<0.1,2021,Pediatric
1042,Citrobacter youngae,1,<0.1,2021,Pediatric
1043,Clostridium clostridioforme,1,<0.1,2021,Pediatric
1044,Clostridium innocuum,1,<0.1,2021,Pediatric
1045,Clostridium paraputrificum,1,<0.1,2021,Pediatric
1046,Clostridium sphenoides,1,<0.1,2021,Pediatric
1047,Corynebacterium jeikeium,1,<0.1,2021,Pediatric
1048,Corynebacterium pseudodiphtheriticum,1,<0.1,2021,Pediatric
1049,Citrobacter,1,<0.1,2021,Pediatric
1050,Cupriavidus,1,<0.1,2021,Pediatric
1051,Curvularia,1,<0.1,2021,Pediatric
1052,Cyberlindnera fabianii,1,<0.1,2021,Pediatric
1053,Delftia acidovorans,1,<0.1,2021,Pediatric
1054,Dermacoccus nishinomiyaensis,1,<0.1,2021,Pediatric
1055,Diphtheroids,1,<0.1,2021,Pediatric
1056,Aerobic diphtheroids,1,<0.1,2021,Pediatric
1057,Elizabethkingia,1,<0.1,2021,Pediatric
1058,Enterobacter amnigenus,1,<0.1,2021,Pediatric
1059,Enterococcus casseliflavus,1,<0.1,2021,Pediatric
1060,Enterococcus hirae,1,<0.1,2021,Pediatric
1061,Escherichia vulneris,1,<0.1,2021,Pediatric
1062,Ewingella americana,1,<0.1,2021,Pediatric
1063,Exophiala,1,<0.1,2021,Pediatric
1064,Fungi,1,<0.1,2021,Pediatric
1065,Gemella sanguinis,1,<0.1,2021,Pediatric
1066,Fermentative Gram-negative bacillus,1,<0.1,2021,Pediatric
1067,Granulicatella,1,<0.1,2021,Pediatric
1068,Haemophilus haemolyticus,1,<0.1,2021,Pediatric
1069,Helicobacter pylori,1,<0.1,2021,Pediatric
1070,Haemophilus,1,<0.1,2021,Pediatric
1071,Kluyvera ascorbata,1,<0.1,2021,Pediatric
1072,Lactobacillus brevis,1,<0.1,2021,Pediatric
1073,Lactococcus lactis,1,<0.1,2021,Pediatric
1074,Lactococcus,1,<0.1,2021,Pediatric
1075,Leptotrichia trevisanii,1,<0.1,2021,Pediatric
1076,Leuconostoc pseudomesenteroides,1,<0.1,2021,Pediatric
1077,Malassezia furfur,1,<0.1,2021,Pediatric
1078,Microbacterium,1,<0.1,2021,Pediatric
1079,Mold,1,<0.1,2021,Pediatric
1080,Mycoplasma hominis,1,<0.1,2021,Pediatric
1081,Mycobacterium neoaurum,1,<0.1,2021,Pediatric
1082,Neisseria cinerea,1,<0.1,2021,Pediatric
1083,Neisseria subflava,1,<0.1,2021,Pediatric
1084,Nocardia nova,1,<0.1,2021,Pediatric
1085,Nutritionally variant streptococci,1,<0.1,2021,Pediatric
1086,Ochrobactrum,1,<0.1,2021,Pediatric
1087,Pediococcus,1,<0.1,2021,Pediatric
1088,Peptoniphilus asaccharolyticus,1,<0.1,2021,Pediatric
1089,Porphyromonas somerae,1,<0.1,2021,Pediatric
1090,Prevotella buccae,1,<0.1,2021,Pediatric
1091,Prevotella denticola,1,<0.1,2021,Pediatric
1092,Prevotella intermedia,1,<0.1,2021,Pediatric
1093,Prevotella loescheii,1,<0.1,2021,Pediatric
1094,Propionibacterium granulosum,1,<0.1,2021,Pediatric
1095,Propionibacterium,1,<0.1,2021,Pediatric
1096,Providencia stuartii,1,<0.1,2021,Pediatric
1097,Proteus penneri,1,<0.1,2021,Pediatric
1098,Peptostreptococcus anaerobius,1,<0.1,2021,Pediatric
1099,Pseudomonas oryzihabitans,1,<0.1,2021,Pediatric
1100,Pseudomonas stutzeri,1,<0.1,2021,Pediatric
1101,Proteus,1,<0.1,2021,Pediatric
1102,Raoultella ornithinolytica,1,<0.1,2021,Pediatric
1103,Rhizopus,1,<0.1,2021,Pediatric
1104,Rhodotorula,1,<0.1,2021,Pediatric
1105,Rhodotorula glutinis,1,<0.1,2021,Pediatric
1106,"Streptococcus, group C",1,<0.1,2021,Pediatric
1107,"Beta-hemolytic streptococcus, non-Group A, non-Group B",1,<0.1,2021,Pediatric
1108,Staphylococcus caprae,1,<0.1,2021,Pediatric
1109,Staphylococcus capitis subspecies urealyticus,1,<0.1,2021,Pediatric
1110,Staphylococcus delphini,1,<0.1,2021,Pediatric
1111,Staphylococcus hyicus,1,<0.1,2021,Pediatric
1112,Staphylococcus intermedius,1,<0.1,2021,Pediatric
1113,Staphylococcus saccharolyticus,1,<0.1,2021,Pediatric
1114,Streptococcus canis,1,<0.1,2021,Pediatric
1115,Streptococcus constellatus subspecies constellatus,1,<0.1,2021,Pediatric
1116,Streptococcus gallolyticus,1,<0.1,2021,Pediatric
1117,Streptococcus lutetiensis,1,<0.1,2021,Pediatric
1118,Streptococcus salivarius group,1,<0.1,2021,Pediatric
1119,Streptococcus gordonii,1,<0.1,2021,Pediatric
1120,Streptococcus salivarius,1,<0.1,2021,Pediatric
1121,Varicellovirus,1,<0.1,2021,Pediatric
